"Time","LES1-S1"
2025-07-26 12:20:01,0
2025-07-26 12:30:03,0
2025-07-26 12:40:03,0
2025-07-26 12:50:03,0
2025-07-26 13:00:03,0
2025-07-26 13:10:03,0
2025-07-26 13:20:03,0
2025-07-26 13:30:03,0
2025-07-26 13:40:03,0
2025-07-26 13:50:03,0
2025-07-26 14:00:03,0
2025-07-26 14:10:03,0
2025-07-26 14:20:03,0
2025-07-26 14:30:03,0
2025-07-26 14:40:03,0
2025-07-26 14:50:03,0
2025-07-26 15:00:03,0
2025-07-26 15:10:03,0
2025-07-26 15:20:03,0
2025-07-26 15:30:03,0
2025-07-26 15:40:03,0
2025-07-26 15:50:03,0
2025-07-26 16:00:03,0
2025-07-26 16:10:03,0
2025-07-26 16:20:03,0
2025-07-26 16:30:03,0
2025-07-26 16:40:03,0
2025-07-26 16:50:03,0
2025-07-26 17:00:03,0
2025-07-26 17:10:03,0
2025-07-26 17:20:03,0
2025-07-26 17:30:03,0
2025-07-26 17:40:03,0
2025-07-26 17:50:03,0
2025-07-26 18:00:03,0.300
2025-07-26 18:10:03,1.10
2025-07-26 18:20:03,0.200
2025-07-26 18:30:03,0.100
2025-07-26 18:40:03,0
2025-07-26 18:50:03,0
2025-07-26 19:00:03,0
2025-07-26 19:10:03,0
2025-07-26 19:20:03,0.200
2025-07-26 19:30:03,0.700
2025-07-26 19:40:03,0.300
2025-07-26 19:50:03,0.400
2025-07-26 20:00:03,0.300
2025-07-26 20:10:03,0.300
2025-07-26 20:20:03,0.300
2025-07-26 20:30:03,0.300
2025-07-26 20:40:03,0.300
2025-07-26 20:50:03,0.300
2025-07-26 21:00:03,0.200
2025-07-26 21:10:03,0.100
2025-07-26 21:20:03,0.400
2025-07-26 21:30:03,0.300
2025-07-26 21:40:03,0.300
2025-07-26 21:50:03,0.200
2025-07-26 22:00:03,0.100
2025-07-26 22:10:03,0.100
2025-07-26 22:20:03,0.100
2025-07-26 22:30:03,0.100
2025-07-26 22:40:03,0.100
2025-07-26 22:50:03,0.100
2025-07-26 23:00:03,0.100
2025-07-26 23:10:03,0
2025-07-26 23:20:03,0
2025-07-26 23:30:03,0
2025-07-26 23:40:03,0.100
2025-07-26 23:50:03,0
2025-07-27 00:00:03,0
2025-07-27 00:10:03,0
2025-07-27 00:20:03,0
2025-07-27 00:30:03,0
2025-07-27 00:40:03,0
2025-07-27 00:50:03,0
2025-07-27 01:00:03,0
2025-07-27 01:10:03,0
2025-07-27 01:20:03,0
2025-07-27 01:30:03,0
2025-07-27 01:40:03,0
2025-07-27 01:50:03,0
2025-07-27 02:00:03,0
2025-07-27 02:10:03,0
2025-07-27 02:20:03,0
2025-07-27 02:30:03,0
2025-07-27 02:40:03,0
2025-07-27 02:50:03,0
2025-07-27 03:00:03,0
2025-07-27 03:10:03,0
2025-07-27 03:20:03,0
2025-07-27 03:30:03,0
2025-07-27 03:40:03,0
2025-07-27 03:50:03,0
2025-07-27 04:00:03,0
2025-07-27 04:10:03,0
2025-07-27 04:20:03,0
2025-07-27 04:30:03,0
2025-07-27 04:40:03,0
2025-07-27 04:50:03,0
2025-07-27 05:00:03,0
2025-07-27 05:10:03,0
2025-07-27 05:20:03,0
2025-07-27 05:30:03,0.100
2025-07-27 05:40:03,0
2025-07-27 05:50:03,0
2025-07-27 06:00:03,0
2025-07-27 06:10:03,0
2025-07-27 06:20:03,0
2025-07-27 06:30:03,0
2025-07-27 06:40:03,0
2025-07-27 06:50:03,0
2025-07-27 07:00:03,0
2025-07-27 07:10:03,0
2025-07-27 07:20:03,0
2025-07-27 07:30:03,0
2025-07-27 07:40:03,0
2025-07-27 07:50:03,0
2025-07-27 08:00:03,0
2025-07-27 08:10:03,0
2025-07-27 08:20:04,0
2025-07-27 08:30:03,0
2025-07-27 08:40:03,0
2025-07-27 08:50:03,0
2025-07-27 09:00:03,0
2025-07-27 09:10:03,0
2025-07-27 09:20:03,0
2025-07-27 09:30:03,0
2025-07-27 09:40:03,0
2025-07-27 09:50:03,0
2025-07-27 10:00:03,0
2025-07-27 10:10:03,0
2025-07-27 10:20:03,0
2025-07-27 10:30:03,0
2025-07-27 10:40:03,0
2025-07-27 10:50:03,0
2025-07-27 11:00:03,0
2025-07-27 11:10:03,0
2025-07-27 11:20:03,0
2025-07-27 11:30:03,0
2025-07-27 11:40:03,0
2025-07-27 11:50:03,0
2025-07-27 12:00:03,0
